Index,File,Points,Lambda_Min,Lambda_Max,Integral,Peak_Value,Peak_Lambda,Mean_Value,Time_HMS
7,500_145_QEPB04081__7__11-29-03-798.txt,1044,220.843,1015.12,560059.13276,17571.38,507.253,694.297624521076,2000-01-01 11:29:03
8,500_145_QEPB04081__8__11-29-04-797.txt,1044,220.843,1015.12,560048.62174,17585.62,507.253,694.28762452107,2000-01-01 11:29:04
9,500_145_QEPB04081__9__11-29-05-799.txt,1044,220.843,1015.12,559424.41874,17534.62,507.253,693.513678160917,2000-01-01 11:29:05
10,500_145_QEPB04081__10__11-29-06-801.txt,1044,220.843,1015.12,559780.14326,17547.38,507.253,693.963333333336,2000-01-01 11:29:06
11,500_145_QEPB04081__11__11-29-07-799.txt,1044,220.843,1015.12,558996.21876,17501.88,507.253,692.98727969349,2000-01-01 11:29:07
12,500_145_QEPB04081__12__11-29-08-814.txt,1044,220.843,1015.12,559372.67124,17509.12,507.253,693.459080459767,2000-01-01 11:29:08
13,500_145_QEPB04081__13__11-29-09-815.txt,1044,220.843,1015.12,559007.60276,17530.88,507.253,693.003563218394,2000-01-01 11:29:09
15,500_145_QEPB04081__15__11-29-10-825.txt,1044,220.843,1015.12,559011.41,17512,507.253,693.006704980843,2000-01-01 11:29:10
16,500_145_QEPB04081__16__11-29-11-838.txt,1044,220.843,1015.12,558908.85525,17487.75,506.48,692.882183908046,2000-01-01 11:29:11
17,500_145_QEPB04081__17__11-29-12-829.txt,1044,220.843,1015.12,558634.43926,17487.88,507.253,692.539961685827,2000-01-01 11:29:12
18,500_145_QEPB04081__18__11-29-13-830.txt,1044,220.843,1015.12,558447.964,17481,507.253,692.307471264368,2000-01-01 11:29:13
19,500_145_QEPB04081__19__11-29-14-829.txt,1044,220.843,1015.12,546156.40826,17065.88,506.48,677.085938697321,2000-01-01 11:29:14
20,500_145_QEPB04081__20__11-29-15-819.txt,1044,220.843,1015.12,550727.98025,17270.25,507.253,682.744252873563,2000-01-01 11:29:15
21,500_145_QEPB04081__21__11-29-16-816.txt,1044,220.843,1015.12,547343.5955,17126.5,507.253,678.536398467433,2000-01-01 11:29:16
22,500_145_QEPB04081__22__11-29-17-815.txt,1044,220.843,1015.12,555556.33274,17393.62,506.48,688.724406130265,2000-01-01 11:29:17
23,500_145_QEPB04081__23__11-29-18-811.txt,1044,220.843,1015.12,560076.59376,17514.38,507.253,694.336896551727,2000-01-01 11:29:18
24,500_145_QEPB04081__24__11-29-19-808.txt,1044,220.843,1015.12,559477.0095,17514,507.253,693.586206896552,2000-01-01 11:29:19
25,500_145_QEPB04081__25__11-29-20-801.txt,1044,220.843,1015.12,559532.84175,17547.75,507.253,693.652298850575,2000-01-01 11:29:20
26,500_145_QEPB04081__26__11-29-21-797.txt,1044,220.843,1015.12,560177.72224,17531.12,506.48,694.470574712641,2000-01-01 11:29:21
27,500_145_QEPB04081__27__11-29-22-806.txt,1044,220.843,1015.12,559096.86176,17513.88,507.253,693.115632183911,2000-01-01 11:29:22
28,500_145_QEPB04081__28__11-29-23-798.txt,1044,220.843,1015.12,559906.06226,17496.38,507.253,694.126168582378,2000-01-01 11:29:23
29,500_145_QEPB04081__29__11-29-24-802.txt,1044,220.843,1015.12,559671.09474,17489.12,507.253,693.832643678158,2000-01-01 11:29:24
30,500_145_QEPB04081__30__11-29-25-791.txt,1044,220.843,1015.12,559758.9805,17499,506.48,693.939655172414,2000-01-01 11:29:25
31,500_145_QEPB04081__31__11-29-26-784.txt,1044,220.843,1015.12,559127.30924,17479.62,507.253,693.144904214556,2000-01-01 11:29:26
32,500_145_QEPB04081__32__11-29-27-786.txt,1044,220.843,1015.12,560149.89926,17530.38,507.253,694.426934865903,2000-01-01 11:29:27
33,500_145_QEPB04081__33__11-29-28-786.txt,1044,220.843,1015.12,559684.85324,17491.62,506.48,693.852758620687,2000-01-01 11:29:28
34,500_145_QEPB04081__34__11-29-29-782.txt,1044,220.843,1015.12,559738.62476,17487.88,507.253,693.910651340999,2000-01-01 11:29:29
35,500_145_QEPB04081__35__11-29-30-775.txt,1044,220.843,1015.12,560332.62326,17483.88,507.253,694.664482758624,2000-01-01 11:29:30
36,500_145_QEPB04081__36__11-29-31-772.txt,1044,220.843,1015.12,559704.29524,17540.12,507.253,693.875747126434,2000-01-01 11:29:31
38,500_145_QEPB04081__38__11-29-32-780.txt,1044,220.843,1015.12,559176.85524,17458.12,507.253,693.218659003828,2000-01-01 11:29:32
