Index,File,Points,Lambda_Min,Lambda_Max,Integral,Peak_Value,Peak_Lambda,Mean_Value
0,500_425_QEPB04081__0__15-48-21-527.txt,1044,220.843,1015.12,-254.0325,4.5,1001.371,-0.312260536398467
1,500_425_QEPB04081__1__15-48-22-516.txt,1044,220.843,1015.12,111.48676,3.88,378.659,0.147241379310345
2,500_425_QEPB04081__2__15-48-23-513.txt,1044,220.843,1015.12,-220.72374,3.38,859.473,-0.269425287356322
3,500_425_QEPB04081__3__15-48-24-515.txt,1044,220.843,1015.12,-246.73524,3.38,768.817,-0.304865900383143
4,500_425_QEPB04081__4__15-48-25-509.txt,1044,220.843,1015.12,1299080.83874,38599.62,504.16,1609.90735632184
5,500_425_QEPB04081__5__15-48-26-505.txt,1044,220.843,1015.12,1296109.62624,38594.12,504.16,1606.21961685823
6,500_425_QEPB04081__6__15-48-27-497.txt,1044,220.843,1015.12,1294704.48924,38428.12,504.16,1604.4791954023
7,500_425_QEPB04081__7__15-48-28-503.txt,1044,220.843,1015.12,1294571.58576,38450.88,504.934,1604.31390804598
8,500_425_QEPB04081__8__15-48-29-496.txt,1044,220.843,1015.12,1294398.4235,38407.5,504.934,1604.10632183908
9,500_425_QEPB04081__9__15-48-30-487.txt,1044,220.843,1015.12,1292970.58926,38409.88,504.16,1602.32923371648
10,500_425_QEPB04081__10__15-48-31-479.txt,1044,220.843,1015.12,1292374.266,38308.5,504.16,1601.59961685824
11,500_425_QEPB04081__11__15-48-32-486.txt,1044,220.843,1015.12,1292285.24226,38409.88,504.934,1601.48344827587
12,500_425_QEPB04081__12__15-48-33-480.txt,1044,220.843,1015.12,1293154.26876,38393.38,504.934,1602.5667816092
13,500_425_QEPB04081__13__15-48-34-469.txt,1044,220.843,1015.12,1291264.474,38286.5,504.16,1600.22988505747
14,500_425_QEPB04081__14__15-48-35-466.txt,1044,220.843,1015.12,1290959.21074,38298.62,504.16,1599.84796934866
