Index,File,Points,Lambda_Min,Lambda_Max,Integral,Peak_Value,Peak_Lambda,Mean_Value,Time_HMS
3,500_565_QEPB04081__3__09-50-31-122.txt,1044,220.843,1015.12,1580591.18826,45952.38,504.16,1958.57252873564,2000-01-01 09:50:31
4,500_565_QEPB04081__4__09-50-32-121.txt,1044,220.843,1015.12,1577025.37,45786,504.16,1954.15900383142,2000-01-01 09:50:32
5,500_565_QEPB04081__5__09-50-33-123.txt,1044,220.843,1015.12,1575782.62576,45739.38,504.16,1952.62712643678,2000-01-01 09:50:33
6,500_565_QEPB04081__6__09-50-34-124.txt,1044,220.843,1015.12,1573572.74425,45695.25,504.16,1949.8754789272,2000-01-01 09:50:34
7,500_565_QEPB04081__7__09-50-35-127.txt,1044,220.843,1015.12,1573115.35525,45612.25,504.16,1949.32183908046,2000-01-01 09:50:35
8,500_565_QEPB04081__8__09-50-36-119.txt,1044,220.843,1015.12,1571883.09776,45573.38,504.16,1947.79858237548,2000-01-01 09:50:36
9,500_565_QEPB04081__9__09-50-37-112.txt,1044,220.843,1015.12,1570828.3005,45563,504.16,1946.48659003831,2000-01-01 09:50:37
10,500_565_QEPB04081__10__09-50-38-109.txt,1044,220.843,1015.12,1570707.80824,45588.62,504.16,1946.34988505747,2000-01-01 09:50:38
11,500_565_QEPB04081__11__09-50-39-106.txt,1044,220.843,1015.12,1568472.6125,45520,504.16,1943.56704980843,2000-01-01 09:50:39
12,500_565_QEPB04081__12__09-50-40-109.txt,1044,220.843,1015.12,1569458.53425,45497.25,504.16,1944.79597701149,2000-01-01 09:50:40
13,500_565_QEPB04081__13__09-50-41-109.txt,1044,220.843,1015.12,1569484.1375,45435.5,504.16,1944.83620689655,2000-01-01 09:50:41
14,500_565_QEPB04081__14__09-50-42-104.txt,1044,220.843,1015.12,1568334.65876,45503.38,504.16,1943.40777777778,2000-01-01 09:50:42
16,500_565_QEPB04081__16__09-50-43-110.txt,1044,220.843,1015.12,1567640.12174,45502.62,504.16,1942.53283524904,2000-01-01 09:50:43
